id,customerId,products
1,0,20
2,1,2|2|23|68|68|111|29|86|107|152
3,2,111|107|29|11|11|11|33|23
4,3,164|227
5,5,2|2
6,6,144|144|55|266
7,7,135|206|259
8,8,79|8|8|48
9,9,102|2|2|297
10,10,84|77|290|260
11,11,25|127|127
12,12,18|183|287|172|289
13,13,79|8|8|38
14,14,2|2|20|20|20
15,15,251|143
16,16,2
17,17,49|49|49|279|279|279
18,18,70|135
19,19,48|8
20,20,20|20|20|281|281|281|287|287|287
21,21,259|198
22,22,29|11|44|195
23,23,36|36|61|201
24,24,236|236|2
25,25,1|20|18|18|18|259|259|2|2|2
26,28,11|11|11|29|29|29
27,29,2|2|124|251|192|47
28,30,297|256
29,32,159
30,33,23|11|41|36|23|36|38|264|11|79
31,34,115|41|81|205|20
32,35,56|62
33,36,145|20|20|20
34,37,73|40|25
35,38,175|102|102
36,39,241|241|43
37,40,118|118|118|33|156|156|25|2|2|2
38,41,41|2|2
39,42,229|229|229|70
40,43,48|8|8
41,44,11|11|11|2|2
42,45,263
43,46,172|205|250
44,48,47
45,49,2
46,51,44|33
47,52,124|124
48,53,47
49,54,18|18|102|102|20|12
50,56,2
51,57,172|135
52,58,231|2|2|2
53,59,100|112|21
54,60,2|2|184|15
55,61,17
56,65,208|9|143|143
57,66,2
58,67,192
59,68,33
60,70,20|20
61,71,2|2
62,72,134|11|23|134|170|23|23|11|170|11
63,73,100|112
64,76,146
65,78,273
66,79,253
67,80,111|33
68,81,135|135
69,87,2|111|162|20|186|111|162|111|2|20
70,89,199|199|2|172
71,90,2|2|143
72,91,76|20
73,93,51|224|41|41
74,94,11|11|15
75,95,44|287
76,96,2|2|20|20|20|44|44
77,97,177|177|177
78,98,20|2|2
79,99,259|259|97
80,100,62|0|0|0|6|67
81,101,214|47
82,102,192
83,103,36|48
84,104,2
85,105,107|29|23|23|11|11
86,106,70
87,109,183|183|183
88,110,143|143
89,111,165|165|132|44|44|20|20|57|29
90,112,172|261
91,113,260
92,114,2|2|2|281
93,115,2
94,117,11
95,118,260
96,119,29|29|29|23|23|23|107|107|107
97,120,79|116|96|36|70
98,121,76|173|173|2|148
99,122,260|133|133
100,123,21|143|143
101,124,264
102,125,43
103,126,48|194|8|79|36|61
104,127,195|115
105,130,118
106,131,11|11|23|23
107,134,287|150
108,135,107|107|23|23|140
109,137,61|2|2|167
110,139,135|33|287|17|102|20|243|23|61|33
111,140,263|11
112,141,149
113,142,23|23|107|107|29|29|12|12|12
114,143,2
115,144,2|2
116,145,29|29|29|2
117,146,2|122|20|33
118,147,67|116|287|287
119,148,144|111|127|127
120,149,148|175
121,150,23|23|23
122,152,263|114|29|11|2|33
123,153,36|79|48|38|134|134|134|8
124,154,20|195
125,155,43|43
126,156,20|192|89
127,157,20|20|20
128,158,298
129,159,2|2
130,160,41|41|41|118
131,162,263|8|8|261
132,163,2
133,164,17|17|51|2|2|2|55
134,167,25|20|11|11|11|23|25|41|25|107
135,168,15|195|1
136,170,2|20
137,172,150|79|63|229|229|168|264|192|36
138,173,135|20|165|165
139,174,20|199|2
140,175,243|243|165
141,176,66
142,177,2|29|29
143,178,118|33|47|263
144,179,15
145,181,23
146,182,89|89|89|259|160|160
147,183,11|11
148,184,2|29|124|150|25
149,185,2
150,186,2|2
151,187,168|168
152,188,11|112|29
153,190,2|2
154,191,33|33
155,4,199|289
156,8,36
157,10,66|66|66
158,11,213
159,14,2|2|120|120|146|20|20|20
160,27,17
161,32,12|12|12
162,38,231|50|282
163,40,47|2|2|2
164,51,15
165,69,11|11|11|234|102|102|29
166,84,112|20
167,85,47
168,100,201|201|27
169,105,250
170,108,44|44|44
171,114,61|21|194|38|170|181|181|181|36|36
172,127,33|33|33
173,128,10|26|26|26
174,136,21|107|29|23|2|2|20|45|45
175,137,157
176,152,236
177,153,47|47|47
178,154,148
179,156,277|25
180,162,162|162|107|107|107
181,165,87
182,169,251
183,172,77|2|172|20|20|143|44
184,180,166
185,193,145|243|289|173|266
186,194,175|183|25|175|183|65|20|146|25|77
187,195,287|287|181|241|241|139|148|29|29
188,196,82|82|82|25|20
189,198,297|94|47
190,199,252|252|252|107|107|107|118|118|118
191,200,1|25|25|122|268
192,201,25|25|20|20|20|100|100|100
193,202,79|79|8|241|79|48|8|48|241|8
194,203,2|2|2|44
195,204,252|252|252|0|0|118
196,206,20|181|181
197,207,2|2|33|33|33|227|20
198,208,143|210|15|231|18|211
199,209,182|182|43
200,210,213|178|289|289
201,211,190|49|172
202,212,110|110|11|11
203,213,13|2|73
204,214,263|11|11|11
205,215,239|281|291|165|165
206,216,146|17
207,217,17|146|210|297|195
208,219,29|297|2|2|23|107|107
209,220,133|101
210,221,20|20|17|17|11|11|11
211,223,151|151
212,225,168|148|119
213,226,169|169|169
214,227,41|41|25|68|68
215,228,68|88|44|68|64|78|68|261|261|88
216,229,259|25|227|275|33|206|191|275|25|199
217,230,215|259|259|118|118|118
218,231,20|20|56|56|193|193
219,232,286|44|44
220,233,143|23|107|145|191|268|268|268|2|2
221,234,33
222,235,272|264|172|73|26|26|237
223,236,214|21|2|2
224,237,107|107|107|227|297|172
225,240,97
226,241,2|1|33|33|33|2|216|20|15|47
227,242,23|23|213|2|2|107|107
228,243,144|86|41|41|39|12
229,244,203|9|143|143|143|63|205
230,245,44|44|29|29|29
231,246,71|50|175|9
232,247,23|23|20|33|11|11|111|29|29
233,248,163|163|135
234,249,134|110|110|181|8|8
235,250,213|2
236,251,2|279|279|47|33
237,252,234|234|234|111|43|33|20
238,253,20|70|70|70|116|116
239,254,23|23|23|234|234|20|20
240,255,36|36|8|122
241,256,273
242,257,208|249|249|249
243,258,2
244,259,78|78|168|168|116|184|208|18|18|18
245,260,106|44|1|102|102|12
246,261,2|20
247,263,66|66|81|16
248,265,2|21|33|33|33
249,266,12|273|2|2|21|1
250,267,91|91|48|2|25|8
251,268,170|13|20|118|83|118|9|20|192|148
252,269,236|236
253,270,143|143|30
254,271,198|99|236|191|237
255,272,15
256,273,13
257,274,29|29|29|11|11|11|198
258,275,20|25|213|213|213|2|172|43|43
259,276,12|186
260,277,70|150|73|60|116|73|266|102|60|116
261,278,12|289|289|289|23|23|64|64
262,279,134|97|15|273|115
263,280,47
264,282,25|25|281|2|2|12
265,283,211|118|118|289
266,284,121|121|121
267,285,24|77|77|13
268,286,102|102|102|287
269,287,50|258|133|158|195
270,288,269|247|259|275|145
271,289,44
272,290,49|196|190|38|48|196|8|61|48|49
273,291,201|201
274,295,1
275,296,193|193|41|41|41|17
276,297,60|133|31|166|268|268|289|289
277,298,11|46|1|57
278,300,96
279,301,1|102|2|2|2|167|115|48|79|199
280,302,6|6|6
281,303,146|97|224
282,304,156
283,305,110|110
284,306,1|267
285,307,228|9|9
286,308,21|297|47
287,310,170|283|283|78
288,311,95|91|91
289,312,61
290,314,193
291,315,297
292,316,25|172|66|124|168|224
293,317,47|11|23|29
294,318,29|2|2|214|214|23|23|11|11
295,319,215|134|195|148|170|170
296,321,2|20|20
297,322,29|23
298,323,16|16
299,325,57|20|71|25
300,326,238|260|260
301,328,49|12|250|175|51|49|44|190|250|66
302,329,20|20|287|287
303,330,269
304,331,102|102|2|2
305,332,146|33|111|142
306,334,183
307,335,2|109|118|26|224|114|118|109|118|143
308,337,97
309,338,29|29|107|107|33|23|23
310,339,13|298|33
311,341,36|44|44|44|2|11|11|11|194
312,342,160
313,343,68|68|252|252|252
314,344,20|20|214|214|214|33
315,345,58|58|58|15|15|15
316,346,212|26|26
317,348,66|272|39|283
318,349,213|160
319,350,4|84|13
320,352,39|2|21
321,353,2|2
322,357,32
323,358,142
324,359,2|2
325,360,2
326,361,2|167
327,362,33|135
328,365,127|127|127
329,366,199|199|227
330,368,11|11|11|23|23|107|20
331,369,107|250|23
332,370,33|29|29
333,372,143|20
334,374,46
335,375,298
336,376,208|231|71|71
337,378,47|263|263|20
338,379,2
339,380,289|37|37|37|175|175|118|118|118|214
340,382,13|43|282
341,384,166
342,385,50|23|23|76|275|20|198
343,386,106|206
344,387,17
345,388,84|193|193|213|2|2
346,390,11|11|11|23|23|23
347,392,79|8
348,393,47|236|236
349,394,111|33
350,395,20|2|2|2
351,397,152|41|41|234|234|20|20
352,399,213|9|2|77|282|100
353,400,107|107|23|23|11|11
354,401,46|177|177|20
355,402,33|2|2
356,403,192|192|192
357,405,20|2|2
358,407,2|2|228|97|91|91
359,409,195
360,411,124|91|91
361,412,233|2|94
362,413,190|185
363,414,236|148
364,415,50|50|9|9|9
365,417,88
366,419,29|29|29
367,420,91|91
368,422,2|2|51|51
369,426,2|2|2
370,427,94|145|287
371,429,33
372,431,21|43|43
373,434,160|160
374,436,261|47|29|23
375,440,11|23
376,442,44|33|2|44|44|25|2|261|48|8
377,443,77
378,444,243|243|243
379,445,246|246|154|154
380,446,186|186|33
381,447,33|2
382,448,268|15
383,449,26|268
384,450,182|182|182|58|58|58
385,451,110|2|159|18|57|250|264|234|110|18
386,452,213|213|213
387,453,175
388,454,20|32|32
389,455,234|234|234
390,456,120|33|263|263|2|2
391,457,134|44|20|181|179
392,458,20|20|20
393,459,214|20|20|20
394,460,184|184
395,461,107|36|298|25|79|25|23|8|107|48
396,462,175|266|265|265
397,463,128|15|88|88|88|229|229|76
398,464,23|29|11|217|33|12|23|263|11|23
399,465,284|53|53|77|33|2|47|246|246
400,466,264
401,467,44|44|110|106|201|61|273|2|110|2
402,468,57
403,469,97|229|229
404,470,66|124|60|60
405,473,23
406,474,201|50|125|125|9|259
407,476,195|162|2|15
408,477,47|20
409,480,15
410,482,2
411,483,11|11
412,484,25|168|168|130
413,485,133|133|133
414,486,77|148|181
415,487,2|2|45|213|1
416,489,44|44|44|133|133|133
417,490,11|11|11
418,492,44|44|184|184
419,493,181
420,494,2
421,495,17|17
422,496,3|3|3
423,498,29|29|29|106|106|11|11|11
424,499,111|61
425,500,29|29|20|20|23
426,501,144
427,502,17|214
428,503,20|20
429,504,264|79|7|231|265|283|192|55|194|211
430,505,157
431,506,44
432,507,111|150|287|70
433,508,110|110|25
434,509,279|279
435,510,33
436,511,259|21
437,513,195
438,515,2|2
439,516,111|290|64|209|9|9
440,518,230|230|230
441,519,206|67|102|251
442,520,134|107|29|23|148|170
443,522,190|190|49
444,523,279|40|234|49
445,524,2|2
446,525,26|45|9
447,526,33|33
448,529,32
449,530,182|182
450,531,166|166|286
451,532,234
452,533,57
453,534,239|239|239|2
454,535,102|213
455,537,2|2|8|8|36
456,538,135|257|9|231|214|214
457,539,44|111|50|182
458,540,13|20|20|20|76|199
459,541,247|247
460,542,209|41|41|41|68|68
461,543,99
462,544,48|279|102|186|220|261|48|213|186|186
463,545,111|20|20|165
464,546,2|2
465,547,213|213|213
466,549,25|25|297|236|236
467,550,230|230|230
468,551,282|33|33|33|140|293|213|111|111|111
